,Total Voltage (V),Resistor Voltage (V),LED Voltage (V),Current (mA)
244,0.79,0.0,0.79,0.0
245,0.8,0.0,0.8,0.0
246,0.8,0.01,0.79,0.05
247,0.81,0.0,0.81,0.0
248,0.81,0.01,0.8,0.05
249,0.81,0.0,0.81,0.0
250,0.81,0.01,0.8,0.05
251,0.82,0.0,0.82,0.0
252,0.82,0.01,0.81,0.05
253,0.82,0.01,0.81,0.05
254,0.83,0.01,0.82,0.05
255,0.83,0.01,0.82,0.05
256,0.83,0.0,0.83,0.0
257,0.84,0.0,0.84,0.0
258,0.84,0.0,0.84,0.0
259,0.85,0.0,0.85,0.0
260,0.83,0.0,0.83,0.0
261,0.85,0.01,0.84,0.05
262,0.85,0.01,0.84,0.05
263,0.86,0.01,0.85,0.05
264,0.85,0.02,0.83,0.09
265,0.87,0.02,0.85,0.09
266,0.86,0.01,0.85,0.05
267,0.87,0.02,0.85,0.09
268,0.87,0.01,0.86,0.05
269,0.88,0.0,0.88,0.0
270,0.85,0.0,0.85,0.0
271,0.88,0.01,0.87,0.05
272,0.88,0.01,0.87,0.05
273,0.87,0.04,0.83,0.18
274,0.89,0.01,0.88,0.05
275,0.9,0.01,0.89,0.05
276,0.9,0.0,0.9,0.0
277,0.89,0.0,0.89,0.0
278,0.91,0.0,0.91,0.0
279,0.9,0.01,0.89,0.05
280,0.91,0.0,0.91,0.0
281,0.96,0.01,0.95,0.05
282,0.92,0.0,0.92,0.0
283,0.95,0.01,0.94,0.05
284,0.92,0.02,0.9,0.09
285,0.92,0.02,0.9,0.09
286,0.93,0.0,0.93,0.0
287,0.93,0.0,0.93,0.0
288,0.95,0.01,0.94,0.05
289,0.95,0.01,0.94,0.05
290,0.94,0.0,0.94,0.0
291,0.95,0.01,0.94,0.05
292,0.95,0.01,0.94,0.05
293,0.95,0.01,0.94,0.05
294,0.96,0.0,0.96,0.0
295,0.96,0.01,0.95,0.05
296,0.96,0.0,0.96,0.0
297,0.95,0.01,0.94,0.05
298,0.97,0.0,0.97,0.0
299,0.95,0.01,0.94,0.05
300,0.99,0.01,0.98,0.05
301,0.98,0.02,0.96,0.09
302,0.98,0.01,0.97,0.05
303,0.98,0.0,0.98,0.0
304,0.99,0.04,0.95,0.18
305,0.99,0.01,0.98,0.05
306,1.02,0.01,1.01,0.05
307,0.99,0.0,0.99,0.0
308,1.0,0.01,0.99,0.05
309,1.01,0.06,0.95,0.27
310,0.96,0.01,0.95,0.05
311,1.02,0.01,1.01,0.05
312,1.01,0.01,1.0,0.05
